"id","gender","race","ses","sch","prog","locus","concept","mot","career","read","write","math","sci","ss"
349,"male","white","high","public","vocation",-1.5,0.0299999993294477,0.670000016689301,"prof1",33.5999984741211,48.9000015258789,38.5999984741211,42.2999992370605,55.5999984741211
157,"male","african-amer","middle","public","vocation",-0.379999995231628,0.560000002384186,1,"craftsman",33.5999984741211,36.5,45.7000007629395,39,30.6000003814697
53,"female","hispanic","high","public","vocation",0.469999998807907,-0.0900000035762787,0.330000013113022,"prof1",33.5999984741211,33.9000015258789,38.7999992370605,39.5999984741211,30.6000003814697
333,"male","white","middle","public","general",-0.0299999993294477,-0.159999996423721,0,"manager",33.5999984741211,43.7000007629395,42.5999984741211,47.0999984741211,35.5999984741211
31,"male","hispanic","middle","public","academic",-0.209999993443489,-1.37999999523163,0,"prof1",34.2000007629395,46.2999992370605,44.5,39,35.5999984741211
265,"female","white","low","public","vocation",-1.33000004291534,-0.600000023841858,0.330000013113022,"clerical",34.7000007629395,35.2000007629395,40.2000007629395,50.9000015258789,33.0999984741211
23,"female","hispanic","low","public","vocation",-0.219999998807907,0.319999992847443,0.330000013113022,"clerical",35.2000007629395,38.5,39.9000015258789,34.7000007629395,40.5999984741211
158,"female","african-amer","low","public","general",1.1599999666214,0.589999973773956,1,"prof2",36.2999992370605,45,44.2999992370605,39,40.5999984741211
375,"male","white","low","public","general",-0.600000023841858,0.560000002384186,0.330000013113022,"craftsman",36.2999992370605,43.7000007629395,44.2999992370605,47.0999984741211,30.6000003814697
146,"female","african-amer","low","public","general",-1.75999999046326,-0.930000007152557,0.670000016689301,"manager",36.2999992370605,38.5,36.4000015258789,36.2999992370605,50.5999984741211
60,"male","hispanic","middle","public","vocation",-0.589999973773956,1.19000005722046,0.670000016689301,"manager",36.2999992370605,36.5,35.0999984741211,33.5999984741211,35.5999984741211
438,"male","white","middle","public","academic",-1.33000004291534,0.0299999993294477,1,"technical",36.2999992370605,28.1000003814697,53.7000007629395,33.5999984741211,25.7000007629395
29,"female","hispanic","middle","public","academic",-0.899999976158142,0.0299999993294477,0.670000016689301,"homemaker",36.2999992370605,44.2999992370605,36.0999984741211,33.5999984741211,40.5999984741211
342,"female","white","middle","public","academic",-0.159999996423721,-0.469999998807907,0.670000016689301,"prof1",36.2999992370605,61.9000015258789,52.2000007629395,39,45.5999984741211
159,"male","african-amer","low","public","general",-0.680000007152557,0.319999992847443,0.670000016689301,"prof1",36.2999992370605,44.2999992370605,34.4000015258789,47.0999984741211,45.5999984741211
90,"female","asian","low","public","vocation",-0.649999976158142,-1.16999995708466,0,"operative",36.2999992370605,30.7000007629395,45.9000015258789,36.2999992370605,40.5999984741211
523,"female","white","high","private","general",0.680000007152557,0.319999992847443,1,"service",36.2999992370605,56.7000007629395,41.9000015258789,49.7999992370605,40.5999984741211
428,"female","white","middle","public","vocation",-0.839999973773956,0.0299999993294477,0,"prof1",36.2999992370605,59.2999992370605,47.7000007629395,39,55.5999984741211
138,"male","african-amer","middle","public","academic",0.46000000834465,0.939999997615814,0.330000013113022,"laborer",36.2999992370605,30.7000007629395,44.7999992370605,39.5999984741211,40.5999984741211
51,"male","hispanic","low","public","vocation",-1.54999995231628,0.0299999993294477,0,"prof1",36.2999992370605,41.0999984741211,43.5,33.5999984741211,40.5999984741211
152,"male","african-amer","middle","public","academic",-1.13999998569489,-0.0599999986588955,1,"manager",36.2999992370605,46.2999992370605,36.9000015258789,41.7000007629395,35.5999984741211
493,"male","white","low","public","vocation",-0.860000014305115,0.280000001192093,1,"farmer",36.2999992370605,48.9000015258789,54.4000015258789,60.7000007629395,35.5999984741211
5,"female","hispanic","middle","public","vocation",0.219999998807907,-0.280000001192093,0,"clerical",36.2999992370605,48.9000015258789,39.5,41.7000007629395,45.5999984741211
316,"female","white","middle","public","vocation",1.36000001430511,0.870000004768372,1,"homemaker",36.2999992370605,43.7000007629395,37.2000007629395,41.7000007629395,40.5999984741211
141,"male","african-amer","middle","public","vocation",-2.23000001907349,1.19000005722046,1,"operative",36.2999992370605,38.5,39.2999992370605,39,45.5999984741211
494,"female","white","low","public","vocation",0.300000011920929,0.0299999993294477,0.670000016689301,"clerical",36.7999992370605,59.2999992370605,40.7000007629395,49.7999992370605,35.5999984741211
199,"male","white","low","public","vocation",-0.819999992847443,0.629999995231628,1,"protective",36.7999992370605,36.5,41.5,33.0999984741211,31.8999996185303
34,"male","hispanic","middle","public","vocation",-1.77999997138977,0.560000002384186,0.330000013113022,"operative",37.2999992370605,43.7000007629395,45.4000015258789,39,45.5999984741211
120,"female","african-amer","low","public","vocation",-1.33000004291534,-0.259999990463257,0.670000016689301,"service",38.4000015258789,37.2000007629395,33.4000015258789,30.8999996185303,36.9000015258789
140,"female","african-amer","low","public","vocation",0.100000001490116,1.19000005722046,1,"service",38.9000015258789,35.9000015258789,46.7999992370605,39,40.5999984741211
107,"female","african-amer","middle","public","vocation",0.569999992847443,-2.61999988555908,0,"proprietor",38.9000015258789,28.1000003814697,38.4000015258789,44.4000015258789,35.5999984741211
232,"female","white","middle","public","academic",0.200000002980232,-0.469999998807907,0.330000013113022,"proprietor",38.9000015258789,54.0999984741211,53.7000007629395,52.5999984741211,40.5999984741211
257,"male","white","middle","public","general",0.200000002980232,-0.469999998807907,0.330000013113022,"farmer",38.9000015258789,38.5,53,52.5999984741211,50.5999984741211
318,"female","white","low","public","general",-0.439999997615814,-0.469999998807907,0.330000013113022,"prof1",38.9000015258789,46.2999992370605,41.9000015258789,41.7000007629395,45.5999984741211
467,"male","white","middle","public","general",1.12999999523163,0.0299999993294477,1,"manager",38.9000015258789,54.0999984741211,47.5,49.7999992370605,40.5999984741211
457,"male","white","middle","public","vocation",-1.33000004291534,0.0299999993294477,0.330000013113022,"laborer",38.9000015258789,30.7000007629395,40.4000015258789,39,50.5999984741211
512,"male","white","low","public","vocation",-1.10000002384186,0.0299999993294477,1,"operative",38.9000015258789,38.5,42.7999992370605,41.7000007629395,40.5999984741211
22,"female","hispanic","low","public","academic",-0.430000007152557,0.129999995231628,0.330000013113022,"military",38.9000015258789,44.2999992370605,51.5999984741211,43.9000015258789,48.0999984741211
59,"female","hispanic","low","public","vocation",-0.600000023841858,0.319999992847443,1,"clerical",38.9000015258789,56.7000007629395,41.2000007629395,33.5999984741211,55.5999984741211
365,"female","white","low","public","general",-1.10000002384186,-0.280000001192093,0.670000016689301,"homemaker",38.9000015258789,41.0999984741211,45.9000015258789,47.0999984741211,45.5999984741211
18,"male","hispanic","middle","public","vocation",0.209999993443489,0.939999997615814,0,"protective",38.9000015258789,48.9000015258789,41.7999992370605,58.5,45.5999984741211
482,"female","white","middle","public","vocation",0.0599999986588955,-1.07000005245209,0,"prof1",38.9000015258789,48.9000015258789,45.2000007629395,44.4000015258789,50.5999984741211
201,"female","white","middle","public","vocation",0.310000002384186,0.629999995231628,1,"clerical",38.9000015258789,56.7000007629395,46.2999992370605,58,55.5999984741211
369,"female","white","middle","public","vocation",0.0199999995529652,-2.02999997138977,0.670000016689301,"clerical",38.9000015258789,59.2999992370605,39.5,39,50.5999984741211
4,"female","hispanic","middle","public","vocation",0.0599999986588955,0.0299999993294477,0,"service",38.9000015258789,41.0999984741211,32.7000007629395,41.7000007629395,40.5999984741211
368,"male","white","middle","public","vocation",-0.449999988079071,-0.259999990463257,0,"craftsman",38.9000015258789,35.9000015258789,44.2000007629395,55.2999992370605,55.5999984741211
82,"female","asian","middle","public","general",0.0599999986588955,0.899999976158142,0.670000016689301,"prof1",38.9000015258789,52.7999992370605,54.4000015258789,49.7999992370605,40.5999984741211
135,"male","african-amer","middle","public","vocation",-0.600000023841858,-1.42999994754791,1,"prof2",38.9000015258789,51.5,38.5999984741211,39,35.5999984741211
363,"male","white","low","public","vocation",-0.379999995231628,0.0299999993294477,1,"operative",38.9000015258789,41.7000007629395,37.7000007629395,44.4000015258789,45.5999984741211
47,"male","hispanic","low","public","general",-0.180000007152557,0.150000005960464,0,"service",38.9000015258789,28.1000003814697,36,36.2999992370605,35.5999984741211
110,"male","african-amer","low","public","vocation",0.930000007152557,-1.62999999523163,0.670000016689301,"operative",38.9000015258789,41.0999984741211,40.2999992370605,34.0999984741211,45.5999984741211
155,"female","african-amer","low","public","vocation",-0.540000021457672,-0.589999973773956,1,"homemaker",38.9000015258789,35.9000015258789,38.4000015258789,33.5999984741211,35.5999984741211
296,"female","white","high","public","vocation",-0.140000000596046,-0.860000014305115,0,"prof1",38.9000015258789,46.2999992370605,50.0999984741211,36.2999992370605,45.5999984741211
344,"female","white","low","public","general",0.270000010728836,-2.51999998092651,0.330000013113022,"operative",38.9000015258789,32,35.2999992370605,46.5999984741211,51.7999992370605
129,"male","african-amer","middle","public","vocation",-0.379999995231628,0.340000003576279,0.670000016689301,"military",38.9000015258789,28.1000003814697,35.2999992370605,39,40.5999984741211
43,"male","hispanic","high","public","vocation",-0.829999983310699,1.19000005722046,0.670000016689301,"prof1",38.9000015258789,38.5,44.4000015258789,26,41.9000015258789
396,"female","white","middle","public","vocation",-0.680000007152557,0.0299999993294477,0.330000013113022,"not working",38.9000015258789,38.5,41.2000007629395,39,35.5999984741211
382,"male","white","high","public","academic",0.219999998807907,1.19000005722046,0.330000013113022,"sales",38.9000015258789,33.2999992370605,37.7000007629395,47.0999984741211,40.5999984741211
24,"female","hispanic","low","public","vocation",0.730000019073486,-1.41999995708466,0.330000013113022,"service",38.9000015258789,41.0999984741211,41,36.2999992370605,45.5999984741211
353,"male","white","middle","public","academic",-0.209999993443489,-1.12999999523163,0,"craftsman",38.9000015258789,41.0999984741211,43.5999984741211,55.2999992370605,45.5999984741211
63,"female","hispanic","low","public","general",-0.340000003576279,0.589999973773956,1,"military",38.9000015258789,33.9000015258789,35.0999984741211,44.4000015258789,40.5999984741211
62,"female","hispanic","low","public","general",0.519999980926514,-0.280000001192093,0.670000016689301,"prof1",38.9000015258789,41.7000007629395,33.7000007629395,30.8999996185303,50.5999984741211
134,"female","african-amer","middle","public","academic",0.509999990463257,-1.28999996185303,0.330000013113022,"clerical",39.4000015258789,41.7000007629395,46.9000015258789,35.2000007629395,50.5999984741211
331,"female","white","low","public","general",-1.99000000953674,0.0299999993294477,0,"prof1",39.4000015258789,54.0999984741211,38.7000007629395,47.0999984741211,35.5999984741211
122,"female","african-amer","low","public","academic",0.100000001490116,0.319999992847443,0.670000016689301,"prof1",40,40.4000015258789,42.4000015258789,48.7999992370605,60.5
109,"female","african-amer","low","public","vocation",0.310000002384186,1.19000005722046,1,"clerical",40.5,46.9000015258789,40.4000015258789,39,50.5999984741211
88,"female","asian","high","public","academic",-0.389999985694885,1.19000005722046,1,"prof1",40.5,59.2999992370605,41.9000015258789,33.5999984741211,50.5999984741211
447,"male","white","middle","public","vocation",-1.33000004291534,0.649999976158142,0,"craftsman",40.5,38.5,47.0999984741211,44.4000015258789,30.6000003814697
376,"male","white","middle","public","general",-1.33000004291534,0.0299999993294477,0.670000016689301,"craftsman",41.5999984741211,30.7000007629395,56.9000015258789,47.0999984741211,50.5999984741211
567,"female","white","middle","private","academic",0.259999990463257,-0.569999992847443,1,"prof2",41.5999984741211,58.5999984741211,54.5999984741211,55.2999992370605,60.5
355,"female","white","low","public","general",-0.400000005960464,-0.889999985694885,0.330000013113022,"operative",41.5999984741211,56.7000007629395,45,50.4000015258789,43.0999984741211
65,"male","hispanic","middle","public","vocation",-0.209999993443489,0.0299999993294477,1,"manager",41.5999984741211,43.7000007629395,51.0999984741211,49.7999992370605,40.5999984741211
188,"female","white","high","public","academic",0.0599999986588955,0.0299999993294477,1,"prof2",41.5999984741211,54.0999984741211,41.2000007629395,41.7000007629395,40.5999984741211
268,"female","white","high","public","academic",0.46000000834465,-0.550000011920929,0.330000013113022,"prof2",41.5999984741211,54.0999984741211,50.2999992370605,49.7999992370605,51.7999992370605
325,"female","white","middle","public","general",-0.649999976158142,0.0299999993294477,0.330000013113022,"prof1",41.5999984741211,39.0999984741211,42.2999992370605,41.7000007629395,40.5999984741211
214,"female","white","middle","public","vocation",-1.80999994277954,-0.639999985694885,1,"service",41.5999984741211,54.0999984741211,46.9000015258789,47.0999984741211,45.5999984741211
442,"female","white","middle","public","vocation",-0.140000000596046,0.129999995231628,0.670000016689301,"prof1",41.5999984741211,56.7000007629395,51.2999992370605,47.0999984741211,60.5
118,"male","african-amer","low","public","general",0.449999988079071,-0.910000026226044,0.330000013113022,"craftsman",41.5999984741211,41.0999984741211,42.7999992370605,49.7999992370605,40.5999984741211
39,"male","hispanic","middle","public","academic",-0.829999983310699,0.129999995231628,1,"prof1",41.5999984741211,35.9000015258789,36.7000007629395,36.2999992370605,55.5999984741211
264,"female","white","low","public","general",-0.800000011920929,0.150000005960464,0.330000013113022,"service",41.5999984741211,41.0999984741211,39.5,47.0999984741211,60.5
14,"female","hispanic","middle","public","general",0.519999980926514,-0.589999973773956,0.670000016689301,"homemaker",41.5999984741211,59.2999992370605,38.5999984741211,36.2999992370605,50.5999984741211
38,"male","hispanic","middle","public","vocation",0.28999999165535,0.389999985694885,0.330000013113022,"military",41.5999984741211,33.2999992370605,37.5999984741211,28.2000007629395,45.5999984741211
443,"male","white","middle","public","vocation",-0.430000007152557,-1.22000002861023,0,"laborer",41.5999984741211,46.9000015258789,55.5,44.4000015258789,40.5999984741211
56,"male","hispanic","low","public","academic",-0.839999973773956,-1.0900000333786,0.330000013113022,"craftsman",41.5999984741211,41.7000007629395,45.0999984741211,36.2999992370605,40.5999984741211
370,"female","white","low","public","vocation",-0.189999997615814,-2.57999992370605,0,"clerical",41.5999984741211,54.0999984741211,41,41.7000007629395,40.5999984741211
50,"male","hispanic","middle","public","general",-1.33000004291534,0.0299999993294477,1,"prof1",41.5999984741211,48.9000015258789,33.7000007629395,44.4000015258789,45.5999984741211
144,"female","african-amer","low","public","general",-0.0399999991059303,-0.28999999165535,0.670000016689301,"prof2",41.5999984741211,38.5,40.2000007629395,33.5999984741211,45.5999984741211
433,"female","white","middle","public","vocation",-0.639999985694885,0.0299999993294477,1,"homemaker",41.5999984741211,46.2999992370605,38.4000015258789,36.2999992370605,45.5999984741211
459,"female","white","middle","public","general",0.0299999993294477,0.0299999993294477,1,"proprietor",41.5999984741211,43,44.5,39,50.5999984741211
151,"female","african-amer","high","public","general",0.75,-0.259999990463257,0.670000016689301,"service",41.5999984741211,35.9000015258789,42,31.3999996185303,39.4000015258789
452,"female","white","middle","public","general",0.0599999986588955,0.0299999993294477,1,"not working",41.5999984741211,46.2999992370605,46.2000007629395,39,45.5999984741211
343,"male","white","low","public","general",-0.370000004768372,-0.469999998807907,0.670000016689301,"prof1",41.5999984741211,48.9000015258789,42.5999984741211,49.7999992370605,55.5999984741211
549,"female","white","high","private","academic",0.46000000834465,0.0299999993294477,1,"prof1",41.5999984741211,64.5,47.0999984741211,53.0999984741211,60.5
194,"male","white","high","public","general",-0.839999973773956,0.340000003576279,0,"prof2",41.5999984741211,46.2999992370605,59.5999984741211,63.4000015258789,65.5
48,"female","hispanic","high","public","vocation",0.0199999995529652,0.0299999993294477,0.330000013113022,"homemaker",41.5999984741211,35.9000015258789,37.7000007629395,41.7000007629395,45.5999984741211
68,"male","asian","low","public","general",0.449999988079071,0.0299999993294477,0.670000016689301,"craftsman",41.5999984741211,25.5,44.2999992370605,36.2999992370605,35.5999984741211
209,"female","white","middle","public","general",-0.629999995231628,0.439999997615814,0.330000013113022,"homemaker",41.5999984741211,43.7000007629395,46.7999992370605,36.2999992370605,50.5999984741211
15,"male","hispanic","middle","public","vocation",-1.27999997138977,1.19000005722046,1,"prof1",41.5999984741211,41.0999984741211,45.9000015258789,44.4000015258789,40.5999984741211
3,"female","hispanic","low","public","general",0.709999978542328,0.0299999993294477,0.670000016689301,"prof1",41.5999984741211,59.2999992370605,41.9000015258789,44.4000015258789,45.5999984741211
465,"male","white","high","public","general",0.75,-0.490000009536743,0.330000013113022,"technical",41.5999984741211,41.0999984741211,41.2000007629395,44.4000015258789,35.5999984741211
230,"female","white","high","public","general",-0.200000002980232,1.19000005722046,1,"service",41.5999984741211,46.9000015258789,41.7000007629395,47.0999984741211,60.5
336,"male","white","high","public","general",0.0599999986588955,0.0299999993294477,0.670000016689301,"proprietor",41.5999984741211,39.0999984741211,56.2999992370605,45,50.5999984741211
448,"male","white","middle","public","vocation",0.680000007152557,1.19000005722046,0.330000013113022,"school",41.5999984741211,41.0999984741211,57.2000007629395,71.5,30.6000003814697
64,"male","hispanic","middle","public","vocation",-0.439999997615814,0.0299999993294477,0.330000013113022,"prof1",41.5999984741211,38.5,38.7000007629395,56.2999992370605,45.5999984741211
33,"female","hispanic","middle","public","general",-0.189999997615814,-1.66999995708466,0,"sales",42.0999984741211,39.7999992370605,42.2000007629395,38.5,40.5999984741211
246,"female","white","middle","public","vocation",0.430000007152557,-0.469999998807907,1,"clerical",42.5999984741211,50.7999992370605,44.5999984741211,39,55.5999984741211
125,"female","african-amer","high","public","general",0.75,-0.720000028610229,0.670000016689301,"school",42.5999984741211,46.2999992370605,41.2000007629395,28.2000007629395,45.5999984741211
412,"female","white","middle","public","vocation",0.660000026226044,-0.600000023841858,0,"service",42.5999984741211,56.7000007629395,40.2999992370605,49.7999992370605,50.5999984741211
388,"female","white","high","public","general",1.12999999523163,0.0299999993294477,0.330000013113022,"prof1",43.2000007629395,54.0999984741211,54.7999992370605,55.2999992370605,45.5999984741211
407,"female","white","middle","public","vocation",0.0599999986588955,0.0299999993294477,1,"homemaker",43.2000007629395,47.5999984741211,45.5999984741211,47.0999984741211,45.5999984741211
453,"female","white","middle","public","general",-0.829999983310699,0.649999976158142,0.330000013113022,"homemaker",44.2000007629395,59.2999992370605,55.5,36.2999992370605,55.5999984741211
480,"male","white","low","public","vocation",-0.879999995231628,-0.28999999165535,0.330000013113022,"operative",44.2000007629395,54.0999984741211,41,49.7999992370605,45.5999984741211
255,"male","white","middle","public","academic",-1.12999999523163,-0.550000011920929,0.330000013113022,"protective",44.2000007629395,46.9000015258789,45.5,39,50.5999984741211
8,"female","hispanic","low","public","academic",0.680000007152557,0.25,1,"prof1",44.2000007629395,51.5,36.9000015258789,49.7999992370605,55.5999984741211
57,"female","hispanic","middle","public","general",-0.889999985694885,-0.180000007152557,0.670000016689301,"prof2",44.2000007629395,43.7000007629395,44.5,41.7000007629395,50.5999984741211
266,"female","white","low","public","general",-1.33000004291534,0.340000003576279,0,"homemaker",44.2000007629395,41.0999984741211,36.9000015258789,41.7000007629395,45.5999984741211
332,"male","white","middle","public","academic",-0.400000005960464,0.0299999993294477,0,"prof2",44.2000007629395,33.2999992370605,47.7999992370605,44.4000015258789,45.5999984741211
10,"female","hispanic","low","public","academic",0.0500000007450581,0.150000005960464,1,"proprietor",44.2000007629395,49.5,40.5,39,50.5999984741211
205,"female","white","low","public","vocation",-0.899999976158142,-2.53999996185303,0,"homemaker",44.2000007629395,43.7000007629395,40.2000007629395,39.5999984741211,30.6000003814697
276,"male","white","middle","public","vocation",-1.04999995231628,-0.340000003576279,0.670000016689301,"clerical",44.2000007629395,38.5,41.4000015258789,42.2999992370605,35.5999984741211
321,"male","white","low","public","vocation",-0.910000026226044,-0.589999973773956,0.670000016689301,"operative",44.2000007629395,39.0999984741211,46.2999992370605,36.2999992370605,40.5999984741211
12,"male","hispanic","low","public","general",0.0599999986588955,-0.589999973773956,0,"operative",44.2000007629395,41.0999984741211,59.7999992370605,44.4000015258789,35.5999984741211
463,"male","white","middle","public","general",-0.109999999403954,0.25,1,"prof1",44.2000007629395,44.2999992370605,45.5999984741211,39,50.5999984741211
206,"female","white","low","public","vocation",-0.180000007152557,0.280000001192093,0.330000013113022,"homemaker",44.2000007629395,51.5,46.0999984741211,47.0999984741211,50.5999984741211
468,"male","white","high","public","general",-0.159999996423721,0.0299999993294477,0.330000013113022,"proprietor",44.2000007629395,59.2999992370605,49.5,55.2999992370605,45.5999984741211
281,"male","white","high","public","vocation",-0.180000007152557,0.0299999993294477,0.670000016689301,"craftsman",44.2000007629395,48.9000015258789,56.2999992370605,41.7000007629395,60.5
570,"female","white","middle","private","academic",-0.839999973773956,-2.59999990463257,0.330000013113022,"service",44.2000007629395,64.5,53,55.2999992370605,60.5
221,"male","white","low","public","general",-0.360000014305115,-1.66999995708466,1,"farmer",44.2000007629395,43.7000007629395,56.4000015258789,58,60.5
577,"female","white","middle","private","academic",0.469999998807907,0.340000003576279,0.670000016689301,"technical",44.2000007629395,48.9000015258789,48,39,50.5999984741211
330,"male","white","low","public","general",0.280000001192093,-0.0599999986588955,0.330000013113022,"craftsman",44.2000007629395,30.7000007629395,35.2999992370605,47.0999984741211,45.5999984741211
173,"female","white","low","public","general",-0.610000014305115,0.0299999993294477,0.330000013113022,"proprietor",44.2000007629395,54.0999984741211,40.2999992370605,52.5999984741211,40.5999984741211
269,"male","white","middle","public","vocation",-0.439999997615814,-0.219999998807907,0,"craftsman",44.2000007629395,33.2999992370605,40.9000015258789,47.0999984741211,45.5999984741211
558,"female","white","middle","private","vocation",0.46000000834465,0.560000002384186,0.670000016689301,"prof1",44.2000007629395,54.0999984741211,52.2000007629395,44.4000015258789,45.5999984741211
586,"male","white","high","private","academic",0.709999978542328,-0.0599999986588955,0.670000016689301,"prof1",44.2000007629395,37.7999992370605,49.2000007629395,39,45.5999984741211
117,"female","african-amer","low","public","vocation",-1.3400000333786,1.19000005722046,1,"prof1",44.2000007629395,41.0999984741211,44.2000007629395,44.4000015258789,40.5999984741211
474,"female","white","low","public","vocation",-0.610000014305115,0.360000014305115,0,"homemaker",44.2000007629395,48.9000015258789,46.0999984741211,47.0999984741211,55.5999984741211
106,"female","african-amer","low","public","general",-0.889999985694885,-1.23000001907349,1,"prof2",44.2000007629395,48.9000015258789,43.7999992370605,35.2000007629395,50.5999984741211
371,"male","white","middle","public","general",0.910000026226044,-0.469999998807907,0.670000016689301,"operative",44.2000007629395,41.0999984741211,50.5,58,40.5999984741211
71,"female","asian","middle","public","vocation",0.0599999986588955,0.280000001192093,1,"clerical",44.2000007629395,54.0999984741211,47.0999984741211,58,50.5999984741211
593,"male","white","middle","private","academic",-1.0900000333786,-0.259999990463257,0.330000013113022,"proprietor",44.2000007629395,41.0999984741211,45.0999984741211,47.0999984741211,45.5999984741211
385,"female","white","low","public","general",-0.379999995231628,0.370000004768372,0.670000016689301,"homemaker",44.2000007629395,43.7000007629395,46.0999984741211,47.0999984741211,50.5999984741211
393,"male","white","middle","public","vocation",-1.29999995231628,0.129999995231628,0.330000013113022,"proprietor",44.2000007629395,41.0999984741211,51.7999992370605,47.0999984741211,40.5999984741211
401,"female","white","low","public","academic",-0.400000005960464,0.0299999993294477,1,"service",44.2000007629395,54.0999984741211,59.2999992370605,58,50.5999984741211
256,"male","white","high","public","general",0.0599999986588955,0.0299999993294477,0,"prof2",44.2000007629395,33.2999992370605,53.9000015258789,58,30.6000003814697
400,"male","white","low","public","general",-0.400000005960464,0.649999976158142,0.670000016689301,"laborer",44.2000007629395,43.7000007629395,38.5999984741211,33.5999984741211,45.5999984741211
554,"female","white","low","private","academic",-0.140000000596046,-0.600000023841858,0.330000013113022,"service",44.2000007629395,48.9000015258789,54.2999992370605,49.7999992370605,45.5999984741211
384,"male","white","middle","public","vocation",-2.23000001907349,1.19000005722046,0.330000013113022,"laborer",44.2000007629395,38.5,41.2000007629395,49.7999992370605,45.5999984741211
575,"female","white","middle","private","general",0.680000007152557,0.0299999993294477,0,"prof2",44.2000007629395,35.9000015258789,43.5999984741211,47.0999984741211,40.5999984741211
224,"female","white","middle","public","general",-1.14999997615814,-0.469999998807907,0.670000016689301,"homemaker",44.2000007629395,56.7000007629395,52.2000007629395,44.4000015258789,55.5999984741211
432,"male","white","high","public","general",0.0599999986588955,0.0299999993294477,1,"prof1",44.2000007629395,54.0999984741211,51.4000015258789,39,45.5999984741211
418,"male","white","middle","public","vocation",-0.889999985694885,0.560000002384186,0.330000013113022,"craftsman",44.2000007629395,41.0999984741211,40.2999992370605,49.7999992370605,25.7000007629395
416,"male","white","low","public","academic",1.11000001430511,-0.0900000035762787,0,"prof1",44.2000007629395,48.9000015258789,48,49.7999992370605,55.5999984741211
594,"male","white","high","private","academic",0.0199999995529652,0.280000001192093,0.670000016689301,"prof1",44.2000007629395,51.5,52.9000015258789,52.5999984741211,45.5999984741211
561,"female","white","high","private","academic",0.680000007152557,0.0299999993294477,1,"manager",44.2000007629395,48.9000015258789,46.2000007629395,47.7000007629395,45.5999984741211
61,"male","hispanic","middle","public","general",-0.0399999991059303,0.649999976158142,1,"technical",44.2000007629395,44.2999992370605,61.0999984741211,49.7999992370605,45.5999984741211
337,"male","white","middle","public","academic",-0.389999985694885,-0.280000001192093,0.670000016689301,"prof1",44.2000007629395,51.5,51.0999984741211,63.4000015258789,60.5
35,"male","hispanic","middle","public","vocation",0.300000011920929,0.560000002384186,1,"technical",44.2000007629395,33.2999992370605,37.7000007629395,30.8999996185303,41.9000015258789
544,"female","white","middle","private","academic",0.959999978542328,0.0299999993294477,0.670000016689301,"proprietor",44.2000007629395,51.5,43.2000007629395,44.4000015258789,50.5999984741211
